ts,brainpool_price,V1 no-import (rerun),V1 with-import (original),"V1 with-import (FIXED, 37.65k - FINAL)","V1 with-import (FIXED, 30k - rejected)",V2 no-import (rerun),V2 with-import (original),V2 with-import (37.65k - superseded),"V2 with-import (FIXED, 30k - FINAL)"
2027-06-03 09:00:00,0.0,-14.98480765085484,-22.645491995524345,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-03 10:00:00,0.0,-14.98480765085484,-22.645491995524345,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-03 11:00:00,0.0,-14.98480765085484,-22.645491995524345,-33.52790847652592,-33.61664421659534,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-03 12:00:00,0.0,0.0,0.0,-0.07,-0.07,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-03 13:00:00,0.0,0.0,0.0,-3.39,-3.39,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-03 14:00:00,0.0,0.0,0.0,-0.08,-0.08,-32.70159936980869,-33.260851825852754,-39.17116896549753,-39.17116896549753
2027-06-03 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-39.17116896549753
2027-06-03 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027-06-03 17:00:00,27.97298812866211,68.63631286544624,68.63631286544624,68.63631286544624,68.63631286544624,59.03019529832639,59.03019529832639,59.03019529832639,59.03019529832639
2027-06-03 18:00:00,53.29613494873047,134.6287655069211,77.2,77.2,77.2,65.63056183058964,65.63056183058964,65.97943352846123,65.97943352846123
2027-06-03 19:00:00,53.22626876831055,3000.0,132.16214828925493,73.51,78.07787397144347,66.68438765459953,66.68438765459953,66.68438765459953,66.68438765459953
2027-06-03 20:00:00,53.29613494873047,3000.0,146.2374672426049,72.76453885296641,79.56472479176469,65.63056183058964,65.63056183058964,65.80215827273146,65.80215827273146
2027-06-03 21:00:00,48.30847549438477,3000.0,139.8507787246954,74.02,76.04705655723232,63.87282559083974,63.87282559083974,63.87282559083974,63.87282559083974
2027-06-03 22:00:00,32.17246627807617,156.57477576459505,106.78720563918591,81.17,81.17,62.12494980169784,62.12494980169784,62.12494980169784,62.12494980169784
2027-06-03 23:00:00,32.17246627807617,78.63197024192203,78.63197024192203,78.07531383410102,78.63197024192203,61.9574517471639,61.9574517471639,61.9574517471639,61.9574517471639
2027-06-04 00:00:00,32.20262145996094,64.22062879640809,64.22062879640809,64.22062879640809,64.22062879640809,61.26431551266444,61.26431551266444,61.26431551266444,61.26431551266444
2027-06-04 01:00:00,32.20262145996094,0.0,0.0,0.0,0.0,61.60977305552226,61.60977305552226,61.60977305552226,61.60977305552226
2027-06-04 02:00:00,32.20262145996094,0.0,0.0,0.0,0.0,62.302661771774645,62.302661771774645,62.302661771774645,62.302661771774645
